,date,unit_sales,rolling_mean_14,year,month,day,dayofweek
0,2013-01-02,295729.012,,2013,1,2,2
1,2013-01-03,203589.568,,2013,1,3,3
2,2013-01-04,203090.766,,2013,1,4,4
3,2013-01-05,280222.42,,2013,1,5,5
4,2013-01-06,320453.744,,2013,1,6,6
5,2013-01-07,190027.84,,2013,1,7,0
6,2013-01-08,180195.921,,2013,1,8,1
7,2013-01-09,168336.198,,2013,1,9,2
8,2013-01-10,141711.915,,2013,1,10,3
9,2013-01-11,162328.716,,2013,1,11,4
10,2013-01-12,225427.337,,2013,1,12,5
11,2013-01-13,275275.218,,2013,1,13,6
12,2013-01-14,160367.365,,2013,1,14,0
13,2013-01-15,159114.983,,2013,1,15,1
14,2013-01-16,181978.945,,2013,1,16,2
15,2013-01-17,144026.85,,2013,1,17,3
16,2013-01-18,168729.075,,2013,1,18,4
17,2013-01-19,246343.092,,2013,1,19,5
18,2013-01-20,279235.722,,2013,1,20,6
19,2013-01-21,172194.44,,2013,1,21,0
20,2013-01-22,167354.667,,2013,1,22,1
21,2013-01-23,156707.452,,2013,1,23,2
22,2013-01-24,129558.105,,2013,1,24,3
23,2013-01-25,160122.812,,2013,1,25,4
24,2013-01-26,236108.045,,2013,1,26,5
25,2013-01-27,257128.008,,2013,1,27,6
26,2013-01-28,153349.835,,2013,1,28,0
27,2013-01-29,140615.781,211847.9287857143,2013,1,29,1
28,2013-01-30,152553.029,203722.92399999997,2013,1,30,2
29,2013-01-31,142726.375,199468.44414285713,2013,1,31,3
30,2013-02-01,207115.827,197014.03764285715,2013,2,1,4
31,2013-02-02,292709.74,194594.08564285716,2013,2,2,5
32,2013-02-03,290047.969,191649.94121428573,2013,2,3,6
33,2013-02-04,185992.256,190376.1269285714,2013,2,4,0
34,2013-02-05,175806.423,189458.89449999997,2013,2,5,1
35,2013-02-06,175253.955,188628.26978571428,2013,2,6,2
36,2013-02-07,150018.601,187760.14049999998,2013,2,7,3
37,2013-02-08,179408.106,187602.5759285714,2013,2,8,4
38,2013-02-09,204662.061,188365.48364285714,2013,2,9,5
39,2013-02-10,160380.848,187069.25435714287,2013,2,10,6
40,2013-02-11,161512.997,186568.00221428572,2013,2,11,0
41,2013-02-12,187164.949,185246.63064285714,2013,2,12,1
42,2013-02-13,162443.478,183144.7795,2013,2,13,2
43,2013-02-14,171499.922,183051.88842857143,2013,2,14,3
44,2013-02-15,171295.924,185793.79928571428,2013,2,15,4
45,2013-02-16,275560.712,189105.70271428573,2013,2,16,5
46,2013-02-17,239514.323,189878.00607142856,2013,2,17,6
47,2013-02-18,195438.448,190863.56435714287,2013,2,18,0
48,2013-02-19,154426.471,191467.2612142857,2013,2,19,1
49,2013-02-20,170666.463,192792.01142857145,2013,2,20,2
50,2013-02-21,139109.971,194253.47542857143,2013,2,21,3
51,2013-02-22,152416.938,195630.99642857144,2013,2,22,4
52,2013-02-23,228308.072,193384.85471428567,2013,2,23,5
53,2013-02-24,271929.531,186474.34328571428,2013,2,24,6
54,2013-02-25,164708.171,187057.4262857143,2013,2,25,0
55,2013-02-26,141273.558,190382.36685714286,2013,2,26,1
56,2013-02-27,153640.955,191088.82749999998,2013,2,27,2
57,2013-02-28,144934.945,193144.08085714284,2013,2,28,3
58,2013-03-01,204608.291,190585.51635714286,2013,3,1,4
59,2013-03-02,318793.851,189360.58578571427,2013,3,2,5
60,2013-03-03,342940.572,185751.03964285713,2013,3,3,6
61,2013-03-04,213236.671,186425.76764285713,2013,3,4,0
62,2013-03-05,183424.686,184898.6282142857,2013,3,5,1
63,2013-03-06,187903.68,184570.9502142857,2013,3,6,2
64,2013-03-07,159036.703,183791.76235714284,2013,3,7,3
65,2013-03-08,174891.865,181863.82178571427,2013,3,8,4
66,2013-03-09,257788.827,183552.82257142858,2013,3,9,5
67,2013-03-10,281093.077,191520.58564285716,2013,3,10,6
68,2013-03-11,171353.653,191748.81235714286,2013,3,11,0
69,2013-03-12,149579.267,188470.85585714286,2013,3,12,1
70,2013-03-13,157970.506,187842.1042142857,2013,3,13,2
71,2013-03-14,130467.718,185944.60585714286,2013,3,14,3
72,2013-03-15,166216.645,188324.06064285713,2013,3,15,4
73,2013-03-16,270102.708,191412.142,2013,3,16,5
74,2013-03-17,315071.774,198799.73121428574,2013,3,17,6
75,2013-03-18,174242.721,200071.03285714285,2013,3,18,0
76,2013-03-19,153871.252,202142.3339285714,2013,3,19,1
77,2013-03-20,170003.548,203373.5637142857,2013,3,20,2
78,2013-03-21,143885.038,204796.9017142857,2013,3,21,3
79,2013-03-22,160400.102,206402.25364285713,2013,3,22,4
80,2013-03-23,260739.11,208508.02185714286,2013,3,23,5
81,2013-03-24,267883.417,209162.56085714285,2013,3,24,6
82,2013-03-25,168609.587,209637.23814285712,2013,3,25,0
83,2013-03-26,139466.78,210230.50307142857,2013,3,26,1
84,2013-03-27,170417.367,210539.75671428573,2013,3,27,2
85,2013-03-28,174677.142,209506.38335714285,2013,3,28,3
86,2013-03-29,192056.387,206764.12292857142,2013,3,29,4
87,2013-03-30,258258.0,203286.18414285715,2013,3,30,5
88,2013-03-31,283719.952,201295.5557142857,2013,3,31,6
89,2013-04-01,236272.743,198510.27357142855,2013,4,1,0
90,2013-04-02,204115.335,196399.314,2013,4,2,1
91,2013-04-03,207384.442,195120.73314285715,2013,4,3,2
92,2013-04-04,165979.586,194038.47135714281,2013,4,4,3
93,2013-04-05,184859.662,193003.34542857143,2013,4,5,4
94,2013-04-06,295300.225,193214.07992857142,2013,4,6,5
95,2013-04-07,319011.945,192270.53278571428,2013,4,7,6
96,2013-04-08,187055.781,192074.5280714286,2013,4,8,0
97,2013-04-09,157063.883,191352.20757142856,2013,4,9,1
98,2013-04-10,171564.019,192241.26907142857,2013,4,10,2
99,2013-04-11,159384.002,195399.0850714286,2013,4,11,3
100,2013-04-12,168647.33,197244.78092857145,2013,4,12,4
101,2013-04-13,255087.126,196398.73035714283,2013,4,13,5
102,2013-04-14,287812.282,194159.3145,2013,4,14,6
103,2013-04-15,186163.817,198590.03035714288,2013,4,15,0
104,2013-04-16,184007.469,202178.89342857143,2013,4,16,1
105,2013-04-17,178781.514,204848.95728571428,2013,4,17,2
106,2013-04-18,144918.285,206427.1392857143,2013,4,18,3
107,2013-04-19,165617.752,208174.2507142857,2013,4,19,4
108,2013-04-20,259358.878,210642.9017857143,2013,4,20,5
109,2013-04-21,298398.509,214294.9395,2013,4,21,6
110,2013-04-22,179268.073,215612.52478571425,2013,4,22,0
111,2013-04-23,161855.613,216869.4607142857,2013,4,23,1
112,2013-04-24,173073.763,216951.36442857143,2013,4,24,2
113,2013-04-25,142586.018,215858.9972857143,2013,4,25,3
114,2013-04-26,162613.269,214186.9217857143,2013,4,26,4
115,2013-04-27,247248.157,213960.43078571427,2013,4,27,5
116,2013-04-28,287706.02,214252.74007142856,2013,4,28,6
117,2013-04-29,168415.561,210673.5310714286,2013,4,29,0
118,2013-04-30,164938.686,209237.25492857143,2013,4,30,1
119,2013-05-01,291664.582,207194.18864285716,2013,5,1,2
120,2013-05-02,183673.848,205689.81,2013,5,2,3
121,2013-05-03,204754.291,204315.38785714286,2013,5,3,4
122,2013-05-04,296029.631,201748.1487857143,2013,5,4,5
123,2013-05-05,334092.572,200275.7605,2013,5,5,6
124,2013-05-06,200069.392,199719.49564285716,2013,5,6,0
125,2013-05-07,169553.404,200061.7620714286,2013,5,7,1
126,2013-05-08,186320.35,200169.6009285714,2013,5,8,2
127,2013-05-09,158525.613,198969.74492857142,2013,5,9,3
128,2013-05-10,180197.847,198538.74057142856,2013,5,10,4
129,2013-05-11,278930.742,197978.81421428573,2013,5,11,5
130,2013-05-12,204511.652,197971.2240714286,2013,5,12,6
131,2013-05-13,184726.563,196703.4915,2013,5,13,0
132,2013-05-14,158632.846,195341.43557142856,2013,5,14,1
133,2013-05-15,176246.446,203404.51185714285,2013,5,15,2
134,2013-05-16,164541.515,206172.7663571429,2013,5,16,3
135,2013-05-17,179315.604,208968.2334285714,2013,5,17,4
136,2013-05-18,259762.669,211587.5729285714,2013,5,18,5
137,2013-05-19,288340.089,214137.14885714286,2013,5,19,6
138,2013-05-20,182943.784,215622.95735714285,2013,5,20,0
139,2013-05-21,160939.794,216172.7995714286,2013,5,21,1
140,2013-05-22,162710.067,217118.98435714282,2013,5,22,2
141,2013-05-23,151980.187,218257.52685714286,2013,5,23,3
142,2013-05-24,212029.679,219513.56814285714,2013,5,24,4
143,2013-05-25,225014.587,221776.60992857142,2013,5,25,5
144,2013-05-26,244417.121,215834.15507142857,2013,5,26,6
145,2013-05-27,168535.925,216999.22664285713,2013,5,27,0
146,2013-05-28,153041.611,216548.8095,2013,5,28,1
147,2013-05-29,163979.484,208304.65692857144,2013,5,29,2
148,2013-05-30,154246.406,206938.06171428572,2013,5,30,3
149,2013-05-31,182009.025,205121.01264285715,2013,5,31,4
150,2013-06-01,309001.068,202530.51535714287,2013,6,1,5
151,2013-06-02,360210.317,199262.48085714286,2013,6,2,6
152,2013-06-03,235576.539,198039.22314285714,2013,6,3,0
153,2013-06-04,201527.809,197423.96528571428,2013,6,4,1
154,2013-06-05,202768.35,195737.51649999997,2013,6,5,2
155,2013-06-06,174889.542,195269.98607142855,2013,6,6,3
156,2013-06-07,200909.043,197543.68835714282,2013,6,7,4
157,2013-06-08,256238.056,193692.5344285714,2013,6,8,5
158,2013-06-09,296205.958,196542.92507142856,2013,6,9,6
159,2013-06-10,186272.24,195386.45092857143,2013,6,10,0
160,2013-06-11,143842.373,194987.07700000002,2013,6,11,1
161,2013-06-12,176916.827,194110.86542857141,2013,6,12,2
162,2013-06-13,151076.289,193375.5005,2013,6,13,3
163,2013-06-14,178992.402,193567.8877142857,2013,6,14,4
164,2013-06-15,272153.172,197084.91621428568,2013,6,15,5
165,2013-06-16,241125.992,202218.50392857144,2013,6,16,6
166,2013-06-17,201064.975,205977.98642857143,2013,6,17,0
167,2013-06-18,170286.203,208877.13035714283,2013,6,18,1
168,2013-06-19,173601.701,211738.4362857143,2013,6,19,2
169,2013-06-20,155317.899,213374.81878571428,2013,6,20,3
170,2013-06-21,174953.885,212580.48764285716,2013,6,21,4
171,2013-06-22,240059.824,214810.73542857144,2013,6,22,5
172,2013-06-23,287112.452,218509.93807142857,2013,6,23,6
173,2013-06-24,177524.457,219776.81771428572,2013,6,24,0
174,2013-06-25,159664.643,219119.72928571425,2013,6,25,1
175,2013-06-26,161108.872,220043.8252142857,2013,6,26,2
176,2013-06-27,139012.169,219817.3882857143,2013,6,27,3
177,2013-06-28,175245.951,219601.91521428572,2013,6,28,4
178,2013-06-29,273946.47,216969.92264285716,2013,6,29,5
179,2013-06-30,299925.094,208463.8994285714,2013,6,30,6
180,2013-07-01,235941.129,205998.78771428572,2013,7,1,0
181,2013-07-02,211177.181,203767.24442857146,2013,7,2,1
182,2013-07-03,209939.88,201683.91235714286,2013,7,3,2
183,2013-07-04,171387.027,200285.93785714285,2013,7,4,3
184,2013-07-05,194048.43,198431.998,2013,7,5,4
185,2013-07-06,259364.52,197276.40999999997,2013,7,6,5
